X,Y,Psi
-1284.9696887725729,-905.60565294738956,3.5823410095783172
-1286.0013636741437,-906.03969703232531,3.5819111038054978
-1287.1818882240955,-906.70298395550765,3.5813510172709302
-1288.304869926985,-907.23055211583619,3.5896794420131606
-1289.4866563504174,-907.78650276599842,3.590376541226604
-1290.6420099466634,-908.28423550084847,3.5919409058565219
-1291.7545750829611,-908.82618566457813,3.5887995434613655
-1292.9418410946344,-909.36801925217833,3.587350300135173
-1293.9578735060022,-909.92467911339361,3.580482482251552
-1295.1102029743533,-910.38926679045426,3.5837777363593739
-1296.2076938427315,-910.99050607674144,3.5803729267026712
-1297.3851884102305,-911.49027454898794,3.5916821414929188
-1298.532317983942,-911.98489270137065,3.5824980197289586
-1299.6722118407999,-912.58160473420958,3.5833007108768125
-1300.7787245285247,-913.13439989122401,3.5867036045935987
-1302.0004836889118,-913.7089899847191,3.5963718968074274
-1303.0812654066451,-914.22442862549133,3.5884006812108362
-1304.1766255578927,-914.74461829390509,3.5914640095151293
-1305.3304922502525,-915.29354176574998,3.5887127263862424
-1306.3881390644469,-915.87690284254074,3.5855999082185042
-1307.5582054560305,-916.39391588236651,3.5925030157127549
-1308.6895874804434,-916.92165892121329,3.5923364558228719
-1309.7710470703255,-917.43426388133582,3.5997632683987404
-1310.8906058579987,-917.98823672456319,3.5992976204598106
-1312.0195960242261,-918.5210735330943,3.5951183186365752
-1313.0915756534037,-919.07344854027872,3.5977486786697961
-1314.2300231514566,-919.57165101593216,3.5892843385845428
-1315.3521345465438,-920.10494609228181,3.597470429093454
-1316.4282855883482,-920.68569612807744,3.5953365251554863
-1317.4859398774684,-921.21065786184261,3.5998301987040278
-1318.6428760735973,-921.74862381061564,3.5948701551557742
-1319.7391863596861,-922.2639799363684,3.5898214093843364
-1320.8308449585463,-922.82124162079901,3.6020647600451001
-1321.976448847319,-923.36331561795873,3.6042222853718089
-1323.0682249010422,-923.93848996364977,3.5997869696846845
-1324.158662005924,-924.42233555320865,3.591863530759003
-1325.2599820954556,-924.94629570187817,3.599670423532332
-1326.3903035296682,-925.52987368023469,3.5990803566309348
-1327.481493520047,-926.08943699759993,3.6017797639150033
-1328.6238807175534,-926.61624914419519,3.599554441853452
-1329.7350122234077,-927.20145942110071,3.5980264495246335
-1330.8523417733857,-927.74563107063204,3.5977671249596259
-1331.8970925760366,-928.26461264617001,3.6069293044398898
-1333.0990801403432,-928.81871861727575,3.6052722873019984
-1334.2081842019409,-929.33981139844707,3.6042198980401969
-1335.2807914578113,-929.98087278897492,3.6026902234669613
-1336.3432616412763,-930.46999619375026,3.6096162080852077
-1337.5113462373174,-931.04600559767778,3.6033709889534378
-1338.6458674922455,-931.57176888208733,3.596776817084117
-1339.7497401823916,-932.15288621758577,3.6115465190311147
-1340.8625041408063,-932.6888822856431,3.6008109909121604
-1342.005983166297,-933.32290833253273,3.6057732549684522
-1343.0972107358725,-933.7922478862564,3.6019174117691564
-1344.1562524695646,-934.34223578712817,3.6068051252831368
-1345.3474804331504,-934.89338432133638,3.602259022562718
-1346.4808055863305,-935.43982520467091,3.5986006542651068
-1347.5556362047653,-935.97892000417198,3.6091604080431821
-1348.7350927071197,-936.55839787801017,3.6012164453377933
-1349.9554287064111,-937.10214275919338,3.6019497007136692
-1351.0208209753969,-937.63364275618301,3.6004710225371697
-1352.1132537253043,-938.22890502131281,3.599446164945558
-1353.2719939652668,-938.71468165426541,3.5938180987862065
-1354.454362770799,-939.32618493624045,3.5903249679256763
-1355.5137426993256,-939.87085808579229,3.5871212587588075
-1356.6691733030279,-940.37526363271434,3.5879765009023612
-1357.92555874499,-940.99695827562903,3.5865850204344398
-1358.9317378372839,-941.44609471228682,3.5882926190198403
-1360.0978072386852,-941.98437931901151,3.582923037733686
-1361.1728305719744,-942.52777014658818,3.5795302124604298
-1362.333459535773,-943.04814839999676,3.5843269895260432
-1363.4833825238745,-943.5469955127744,3.5814266620665012
-1364.6727710298051,-944.0208000198669,3.5823242564448354
-1365.7366228449284,-944.55468036830894,3.5739603145984371
-1366.8996329956419,-945.083399212215,3.5673477420891428
-1367.9771598549944,-945.66182485536376,3.5805304243582596
-1369.2539809275297,-946.18185224687829,3.5749888846449585
-1370.2292064817798,-946.62271636143987,3.5648154876470168
-1371.3865545969998,-947.16097752802364,3.5680706484923026
-1372.5004892457885,-947.63994792565927,3.5651629897513164
-1373.7892385846874,-948.21706638869227,3.5626127296738601
-1374.9420536674263,-948.73249959548832,3.5542215224059071
-1376.0403005804883,-949.25943016082272,3.5665892930957681
-1377.105536316199,-949.73639223595592,3.5577930257503176
-1378.2509470830655,-950.17036015598819,3.5655916880445644
-1379.4609828921436,-950.66500015005545,3.5586293361870651
-1380.6226532488802,-951.12893624584581,3.5551657255174747
-1381.707546801171,-951.70885598894824,3.5586182788695857
-1382.8448221292065,-952.2125254651728,3.5584098703979588
-1384.0271275014261,-952.72023645929517,3.555981657856405
-1385.1533053759279,-953.20491925049453,3.5580606310113922
-1386.3689004131111,-953.69179930005134,3.557505793432636
-1387.5018009565047,-954.23896832211483,3.5546937795328906
-1388.6478292596619,-954.7232001058494,3.5568979598641537
-1389.7809767104998,-955.25621399982265,3.5504467412923395
-1390.9691351560434,-955.74423114785986,3.5572228356913014
-1392.1891686486044,-956.21907445914485,3.5453231062759665
-1393.3360199820763,-956.72722828118606,3.5498594599940172
-1394.5247108632868,-957.22093423258991,3.5466998301692008
-1395.6716194203507,-957.74126072286776,3.5486632264597553
-1396.8752204197983,-958.19442256295702,3.5504359637801763
-1398.042876346886,-958.78905715924873,3.541323152244551
-1399.2341609934565,-959.25572842578879,3.5594520530733873
-1400.4340329206075,-959.76542928221204,3.5434081486074951
-1401.6195420693052,-960.31484333290314,3.5451435015657609
-1402.832909044324,-960.78634160510808,3.5425284065182647
-1404.0904381600328,-961.23489250261298,3.5295479021794103
-1405.09284135648,-961.7055245864675,3.5373862424131057
-1406.4320719681064,-962.30924833297354,3.5365245262723102
-1407.6808707481773,-962.80126323925663,3.5328015767338279
-1408.8494058514357,-963.25826359208872,3.5421848135339555
-1409.9554821826889,-963.68603501758525,3.5315328654559681
-1411.3016144408145,-964.23921822623083,3.5389708728303333
-1412.3780761553573,-964.64623723210195,3.539382055048867
-1413.7576751312308,-965.23769566861029,3.5362035840552415
-1414.9644631536296,-965.77046364775265,3.5357616510884049
-1416.2591454939538,-966.2070359799369,3.5360543167903917
-1417.51534250809,-966.6578263755423,3.534857259055364
-1418.6972618045318,-967.26866458783059,3.5291514311922292
-1419.7655203570323,-967.63393517197426,3.5302046670447402
-1421.1319905708326,-968.18154355475588,3.5134183571995976
-1422.2709391626961,-968.61055574454736,3.5308901470374212
-1423.5852469523422,-969.17952709404835,3.5093825253615361
-1424.6755808362036,-969.51586894686579,3.5137768252985562
-1426.0570161303622,-970.04823516820591,3.5040873376404345
-1427.2823657281976,-970.52176662908823,3.5068844288749297
-1428.5134269831237,-971.02272637137537,3.5042720243586611
-1429.742661783009,-971.46125734418263,3.5067775158717076
-1430.9439876661243,-971.95938655701002,3.5102445734228511
-1432.1396446890735,-972.39042669341097,3.5008343132856448
-1433.333954685427,-972.81426576038075,3.501261453997456
-1434.6585412208331,-973.31993199813542,3.494940843529847
-1435.8999943675831,-973.733673609363,3.4979445024885027
-1436.9758513930201,-974.0655964786348,3.4880669275845269
-1438.3072783285968,-974.54392618387874,3.4899410870943171
-1439.542294488682,-974.98527844985131,3.4943165907086171
-1440.7559966425524,-975.44785236327721,3.4910617278158491
-1441.9619337355869,-975.91355201330725,3.4823749023263106
-1443.210189069473,-976.34885723605066,3.4835333773303274
-1444.5326338719997,-976.73592663480827,3.4844169428311527
-1445.6859476406621,-977.16428420015325,3.4792255643485004
-1447.0201993492055,-977.65231458940002,3.4821349986153667
-1448.2223147469806,-978.09270290024551,3.4829194709165319
-1449.5172442286141,-978.50337879794358,3.4868275548872401
-1450.7773007667231,-978.90714948983612,3.4849870198442177
-1452.0468547214937,-979.44917767270806,3.4772333189602644
-1453.2828681647793,-979.8324291930943,3.4851474309578405
-1454.6013000650837,-980.27940947615218,3.4822150638995559
-1455.8195876503314,-980.73592160887438,3.478471216682248
-1457.1848628169589,-981.1952283999567,3.4833243197132253
-1458.4043688824834,-981.66620474941431,3.4852584644439362
-1459.8095106782612,-982.12387183682813,3.4766158204288593
-1461.1024882423701,-982.5223730352925,3.4784560821135737
-1462.3732534718467,-982.91391444150747,3.4819783959810229
-1463.7588361891931,-983.39217051059461,3.4673550373491206
-1465.0285380198029,-983.85255655624189,3.4796388660982029
-1466.3985245810875,-984.38226348352964,3.4760818007451042
-1467.7539079819101,-984.82169752574134,3.4732389086944648
-1469.0806321384318,-985.23956332033151,3.4731539936014415
-1470.4444963716812,-985.70446007627368,3.4654800380436823
-1471.7964424475035,-986.15957609024508,3.4661922238161149
-1473.185478123838,-986.60466662442252,3.462818442082146
-1474.5741168934112,-987.07842375620942,3.4621617834286234
-1475.9292247950889,-987.56274956257835,3.4571762361045875
-1477.2492437403455,-988.02260317423395,3.4567948656063026
-1478.6283194900345,-988.39210716009245,3.4668294436318372
-1480.0853018143971,-988.8216640122954,3.4531915668064226
-1481.494967646667,-989.24994145524147,3.4607048039770643
-1482.9290836510577,-989.7664018725402,3.4606988116556368
-1484.2942816032923,-990.14266267250639,3.4565627805771388
-1485.7204153856012,-990.61353344408315,3.4603127615724092
-1487.158142803773,-991.1002185739859,3.4591608773915978
-1488.5822635847137,-991.5756681264013,3.4544154009806571
-1489.9890862811005,-992.0051026316595,3.4510114944702481
-1491.4344713121202,-992.44890249396906,3.4512033151093529
-1492.8860746260586,-992.92146258114519,3.4488523329767471
-1494.3829830461809,-993.43923646079611,3.4474688685508239
-1495.8554215803326,-993.82906570307819,3.452439265075181
-1497.3203959116627,-994.23970238739412,3.4396787287127317
-1498.7779582334153,-994.68268729036356,3.4313424799237122
-1500.3052243330906,-995.13837613379758,3.4377185701060613
-1501.7408197825364,-995.58848242342208,3.4324113410002868
-1503.2916828184932,-996.03235621811018,3.4335534424080612
-1504.7532764467114,-996.50918914221518,3.4344196315426685
-1506.2397963101619,-996.90248911721835,3.4217030817652914
-1507.7453252737066,-997.32427053268145,3.430428342091048
-1509.1868922933916,-997.7923982075439,3.416485934751563
-1510.7814683256574,-998.19070995220579,3.4230442605712716
-1512.3026780361743,-998.62197048637199,3.4280405420173916
-1513.8059512237562,-998.96881632934355,3.4210233762931836
-1515.330388776013,-999.43437652511591,3.417876052291835
-1516.8515796624633,-999.84997595974653,3.4126643758810729
