X,Y,Psi
-1512.2318284259175,-998.57513514739276,3.4168162546583027
-1513.8032020229041,-999.04547986921182,3.4203918038966741
-1515.2919270133623,-999.50267018136879,3.4140258360070574
-1516.7795788591527,-999.88366326612584,3.408033389852863
-1518.3961347446862,-1000.2439955686009,3.4121644758910912
-1519.9212816691218,-1000.7146464509092,3.4068821594244447
-1521.4275696447669,-1001.0572717351314,3.4096489778789389
-1522.9356109758289,-1001.5117971540113,3.4083477597891747
-1524.4949463608514,-1001.9308622107523,3.4123308560009251
-1526.0255224355014,-1002.3945072204376,3.4097321010232946
-1527.6242917602713,-1002.7426249484737,3.4097443195288122
-1529.2086620584828,-1003.1681976843888,3.4053757617108231
-1530.7519352990309,-1003.5700024370743,3.4026734545760884
-1532.3078114797618,-1003.9920640044053,3.4116728743709639
-1533.895830483531,-1004.3686476695257,3.3980881573574369
-1535.4434084158161,-1004.8389357995915,3.4088921630278968
-1537.0899662548181,-1005.2316225985866,3.4045765555270009
-1538.6880467346593,-1005.6307211963497,3.3996166696591632
-1540.1778541432309,-1005.9969745211515,3.4005031618183881
-1541.8210542963373,-1006.5001675168616,3.3942205333766999
-1543.4324796048054,-1006.8989409018305,3.3864387885982565
-1545.0207927897413,-1007.2996153358284,3.3954285264963158
-1546.6842003043616,-1007.6966093214941,3.3841572009858725
-1548.273058499911,-1008.0860722469176,3.3881689608737564
-1549.9067061385679,-1008.4409866204005,3.3883356279200409
-1551.501027406978,-1008.8241796661594,3.3863629904126991
-1553.1584143911732,-1009.2106825478874,3.3848987662856991
-1554.7800040107502,-1009.6156222209585,3.3716296991425683
-1556.4396801373848,-1010.0434322779764,3.3793054814981089
-1558.0035219995123,-1010.4230919349548,3.3787229519526902
-1559.5891198652032,-1010.7792686364368,3.3738675370590938
-1561.302235632774,-1011.1554630964987,3.3820084010066092
-1562.8519014540746,-1011.5560518798134,3.3675780503318289
-1564.590717259789,-1011.9149541041062,3.3661626372998943
-1566.2542738997538,-1012.241361441148,3.3644527815858827
-1567.8523012349292,-1012.6860474334442,3.3720794277245507
-1569.4801097783943,-1013.0110087939003,3.3665020469716542
-1571.1721071403863,-1013.4130899613135,3.3542868408752042
-1572.7711890582127,-1013.7459627123803,3.3633138632913706
-1574.4208504465701,-1014.1046028293624,3.3638447861644556
-1576.0643417097619,-1014.4898342178625,3.364430355288075
-1577.7863976676731,-1014.7679200801686,3.3684459324235614
-1579.4076700144155,-1015.1800270097681,3.3616768579832801
-1581.0779184613014,-1015.5349738070055,3.360364551912884
-1582.7812310994791,-1015.9176164034342,3.3716789886655283
-1584.4310987606411,-1016.3416443335127,3.3711567883935531
-1586.0345469404733,-1016.6105481617343,3.3642807801806147
-1587.7203809767973,-1017.0282330161535,3.3717404416419203
-1589.3913612820188,-1017.4448425772429,3.3728995842681644
-1590.9801023397258,-1017.7771164989821,3.3746510862964367
-1592.6888063893502,-1018.159211340611,3.3740658763943223
-1594.3053569866802,-1018.5561678892608,3.3750286373192857
-1595.9836676356288,-1018.9233365428263,3.3754391422871293
-1597.6403363505704,-1019.3222758491014,3.3847412933591254
-1599.2982291972428,-1019.7285349454824,3.3713345370881904
-1601.0049225884095,-1020.1567116216017,3.3847489446634569
-1602.6243745058562,-1020.5435883241448,3.3796923339293228
-1604.2911703261937,-1020.8931526132312,3.3920778373770326
-1605.9130348123931,-1021.3313256068647,3.382980903687312
-1607.5964254653591,-1021.669470887931,3.3845113882817426
-1609.2313066809375,-1022.0987210066405,3.3872362762583168
-1610.9498495568434,-1022.5185628045408,3.380466098392533
-1612.6148718656864,-1022.8782843959588,3.3901912295476775
-1614.2606103726575,-1023.3142222280173,3.3888647151304356
-1615.9012816635541,-1023.7625719016769,3.3816062257336053
-1617.5693558758896,-1024.1898384330261,3.3866387599512193
-1619.2191224305818,-1024.5470252730649,3.3849260322221113
-1620.9239253327705,-1024.9550245815499,3.3849256071580016
-1622.5376394924208,-1025.3472377229659,3.3752015882018416
-1624.2577501815983,-1025.6925146503881,3.3699343107439579
-1625.9093429674163,-1026.0454672260469,3.370560527800079
-1627.534284623762,-1026.4777550926397,3.3627062133075714
-1629.1709050307036,-1026.8245428203245,3.360079538744198
-1630.9358234697097,-1027.1893991281152,3.3606902740727924
-1632.5558558962739,-1027.4704219308851,3.3599983821501769
-1634.2684100319557,-1027.8323291329837,3.3414278953533274
-1635.9807522288597,-1028.1908282793063,3.3406530656278721
-1637.5826932061082,-1028.494058818658,3.3313663372370446
-1639.1775633936572,-1028.7682399909349,3.334010511898803
-1640.9474620497904,-1029.1260017650241,3.3287646170964909
-1642.5706814002108,-1029.3801280033431,3.328920479988728
-1644.258942694792,-1029.7067150973439,3.3257227526740523
-1645.8746793224066,-1029.9665203740897,3.3160225926324536
-1647.5142256671306,-1030.2564880012928,3.3132299525149529
-1649.1809879237087,-1030.5813583769759,3.3128283990210234
-1650.7386748979854,-1030.7943428379131,3.308559757027814
-1652.4441088472327,-1031.0693109792976,3.3122535597719809
-1654.1256761922277,-1031.3180338134043,3.2987811694302871
-1655.6964917490516,-1031.5273111860477,3.2955478671210949
-1657.3016709650465,-1031.7913354979748,3.2924492817598097
-1658.9293814766722,-1032.0542610304756,3.2861306951917508
-1660.4793321868187,-1032.2531277092514,3.2862911433427353
-1662.123694717729,-1032.4652880380352,3.2786382948889194
-1663.7499392508857,-1032.7074925300531,3.2783431158001939
-1665.3619929077611,-1032.9589317493042,3.2732089546012748
-1666.9119456015742,-1033.1344230903367,3.2739658548256925
-1668.5599331092931,-1033.225854572335,3.2776049433351733
-1670.1842439061695,-1033.5049162883067,3.2718325783205189
-1671.7440549497624,-1033.7102384542386,3.2728322917497672
-1673.2608703262097,-1033.8959268951094,3.2640886965768035
-1674.8638749767606,-1034.0847357723969,3.2617649777574189
-1676.4355461037421,-1034.2572901213334,3.2616588445639114
-1678.0357968183587,-1034.4535501896833,3.2539926533937948
-1679.6268871026136,-1034.6047298550984,3.2523350889198297
-1681.1505467631632,-1034.7560430187275,3.2474413724309437
-1682.6840680345847,-1034.9462649280845,3.2483003267700368
-1684.2241887173345,-1035.119008631149,3.2553118719227556
-1685.7223388285397,-1035.1639776345842,3.2496641977545857
-1687.3691375327655,-1035.408015817507,3.2415695958053949
-1688.8796743338969,-1035.5535974848412,3.2461909747708875
-1690.3933655966748,-1035.6783978338049,3.2409651904507553
-1691.9131542910636,-1035.7821575341916,3.2454569254981296
-1693.4614720902377,-1035.9140140328245,3.2315829065565835
-1695.0056175691509,-1036.0605702862204,3.2345848748056159
-1696.4704939006274,-1036.2506625893905,3.2284319260409746
-1698.0104384380847,-1036.3579855289299,3.2371313738376104
-1699.5215925959781,-1036.4303520978863,3.2272785851710659
-1701.0043514307047,-1036.5300389130707,3.2229377430095165
-1702.5162292269276,-1036.6891632870654,3.2194527397132906
-1703.9674182969968,-1036.7766848026017,3.2205296453468826
-1705.4954084419869,-1036.8634439240104,3.2157389988171472
-1706.9731398558881,-1037.0129908183239,3.2226739411370762
-1708.4660990819996,-1037.1573947790739,3.2131554692792306
-1710.0288703239123,-1037.2561110389418,3.2097066866377513
-1711.4697263657988,-1037.3729766609304,3.2130924738775515
-1712.9873522854532,-1037.4976059593459,3.2115911848141652
-1714.4124317799215,-1037.5014838599004,3.2187046738757474
-1715.9560299828156,-1037.6699069609019,3.2139005577503097
-1717.3502169875383,-1037.7865164690747,3.2119004290418061
-1718.9213923706943,-1037.8004841664283,3.2119212894395504
-1720.4073345396398,-1037.9092065601092,3.2082754372871052
-1721.8564047576222,-1038.0269283200462,3.2144370866185135
-1723.3295356682183,-1038.1593434530139,3.2073830349588599
-1724.8362715437695,-1038.2201843123596,3.2034024730319324
-1726.318278515201,-1038.2949129816768,3.2000978348593008
-1727.779566949863,-1038.3141035404697,3.2004988765910918
-1729.2743036401125,-1038.4630685225491,3.1975886642773794
-1730.7233976568555,-1038.5084429064709,3.2017907672202801
-1732.1999237720911,-1038.5933822667573,3.1923321808421461
-1733.6574878017359,-1038.6418048392125,3.1869827582479711
-1735.1704127485968,-1038.6777733371352,3.1888234236883375
-1736.6096166576629,-1038.7466345944435,3.1845163636584211
-1738.1044447480772,-1038.8186108949694,3.1961131519228978
-1739.5971201192469,-1038.8386213146605,3.1819013595375556
-1741.0360001454067,-1038.9760488091786,3.1855441572134358
-1742.4841635110427,-1038.9865088735853,3.188502646718308
-1743.9151787929688,-1039.1005096585566,3.1809744768860422
-1745.3569641510412,-1039.1283466418129,3.1887039088456048
-1746.8220344260251,-1039.1789487485353,3.1847942668787459
-1748.3029762722422,-1039.1742182262619,3.1759489823483067
-1749.7694478124513,-1039.2417862813852,3.1726789887228399
-1751.2335618922411,-1039.328815770828,3.1765849493571454
-1752.6575031290954,-1039.3707153915907,3.1691911091701623
-1754.080908020454,-1039.3980343390456,3.17497885487886
-1755.5709794114134,-1039.4234977516273,3.1744146126364923
-1757.0602508601412,-1039.4981462034475,3.1750912034682979
-1758.533603491775,-1039.5193828024194,3.1604539194746297
-1759.9600823788519,-1039.5135215521032,3.1762481282603559
-1761.416080827011,-1039.5326245850549,3.1656466359269713
-1762.8473708482454,-1039.6156160224034,3.1679302808787666
-1764.3023605834585,-1039.5711760249862,3.1769873243700006
-1765.7510419264734,-1039.6895789076275,3.1656866881412968
-1767.2291357656034,-1039.7341770322289,3.1704308697560442
-1768.7191677028072,-1039.7487941779996,3.1625872232597554
-1770.1456783442461,-1039.7148535163394,3.1590888248060995
-1771.6208911932199,-1039.7749181440224,3.1487910221443243
-1773.0425267134719,-1039.7771188322677,3.1789622288942767
-1774.4936275342525,-1039.7899362784017,3.1602008010633291
-1775.9415892731911,-1039.8172582576988,3.1611855631525443
-1777.3438213281604,-1039.8500804588639,3.1481793207423805
-1778.8563778872078,-1039.8479953332414,3.1602152386226048
-1780.2623394166064,-1039.8124645012417,3.1557347776646676
-1781.7233473249771,-1039.8449997012076,3.148942236720738
-1783.1724547101999,-1039.8850218399662,3.1483952933765953
-1784.5770450428224,-1039.8754301925974,3.1513651937538434
-1786.0517949364043,-1039.7868831075375,3.1384438311561844
-1787.5336171158049,-1039.8012836154251,3.1412527009415072
-1788.9566729076325,-1039.8664924281863,3.1467373468159825
-1790.3643594548967,-1039.8336168781357,3.1487663639144507
-1791.8917322501393,-1039.8229434356397,3.1313784798222186
-1793.3166550815406,-1039.8530653576909,3.1445870585123852
-1794.7634444058176,-1039.8246144039106,3.1375007293039179
-1796.1587576465975,-1039.7662217242914,3.1289034266141083
-1797.6212163722753,-1039.7919710281412,3.1354228355970135
-1798.9939676027657,-1039.7824074213031,3.1237307523017224
-1800.4516590915757,-1039.7374155559403,3.133065629072628
-1801.8516534424261,-1039.7282949710245,3.124431165570992
-1803.2930760787574,-1039.7153256812658,3.1276500614838212
