X,Y,Psi
-1284.9886356754389,-905.67925353459532,3.5847207460362198
-1286.0005062384362,-906.10073770004669,3.5844256244560584
-1287.1938466473855,-906.6639649034355,3.5877939152186666
-1288.342126737306,-907.23270453476709,3.5841398495342411
-1289.5004637328204,-907.72877788816436,3.5891075012644911
-1290.6487268111057,-908.29182163104679,3.591197097085709
-1291.7770923644277,-908.76811930257247,3.5850039538097618
-1292.9194704423132,-909.3504338237143,3.5915060520798745
-1293.9630482010496,-909.89757582547759,3.5855133450546659
-1295.0219301265627,-910.41485055925796,3.5838839144637831
-1296.2586830277216,-910.94166152648268,3.5891094308000877
-1297.3965977703679,-911.47670137131138,3.5753226658023078
-1298.5266702348868,-912.02930610685462,3.5877923833079195
-1299.6853185154735,-912.56840566136032,3.5851443533873448
-1300.7571227631195,-913.17034675506807,3.5952604212312567
-1302.0567023634303,-913.74839673560257,3.5961846028944739
-1303.0585842684061,-914.25740468084473,3.594935520332744
-1304.1628398919361,-914.75908718119786,3.5949887109308754
-1305.3211940230592,-915.27280008148387,3.5854598193324665
-1306.3870829139742,-915.81061930061753,3.5893394165565131
-1307.5682048109061,-916.32371716466344,3.5947513115437761
-1308.7073612127433,-916.88442618106012,3.585648693103149
-1309.7657068830244,-917.42500622487455,3.5927988689067005
-1310.9172861719783,-917.95505515097216,3.5973175850395092
-1312.0151945231298,-918.539376125486,3.5945299669966904
-1313.1459281149112,-919.08527285609841,3.5876234880728508
-1314.1556268648037,-919.59184348956649,3.6013646042058038
-1315.3700439954252,-920.11949865098313,3.5915784670528139
-1316.3905070853766,-920.68191432173467,3.594471749314478
-1317.5596097434589,-921.19558777503596,3.6074089591731116
-1318.6464710036691,-921.71205715487827,3.5931698672163073
-1319.7525912531453,-922.26885458470656,3.5912427984647697
-1320.8319611308516,-922.83180834669406,3.5927400577668065
-1321.9692759603649,-923.40051815726838,3.604173831278239
-1323.0473926384227,-923.9948340438757,3.5941551526724793
-1324.2240551064033,-924.39813036440353,3.5944249784262019
-1325.3051851731984,-925.00383287275281,3.593183022823236
-1326.4052887716371,-925.55209770427177,3.5996087883617638
-1327.4946096056249,-926.05430334189191,3.5945256383724327
-1328.5813721241464,-926.62229021793041,3.5975604622114656
-1329.6729676413736,-927.1994790931368,3.5998421808489725
-1330.8006277272839,-927.73103688584661,3.6069284892202687
-1331.9624879591852,-928.27457174889173,3.6005145914056924
-1333.0221051656606,-928.80615026271028,3.5969070675753341
-1334.2131325257578,-929.33161340745892,3.6031235478466836
-1335.2409054731661,-929.92724714252336,3.6008376067988377
-1336.3981661347225,-930.48572523132179,3.6013744615174632
-1337.475648948724,-931.08737049607385,3.5977026055942405
-1338.5943437135513,-931.57411637732821,3.602586961463992
-1339.7043790870064,-932.12141822335661,3.6100121213985323
-1340.8729271739946,-932.70905119098757,3.5987883848511069
-1341.9640493085994,-933.19886648291106,3.5977909444459981
-1343.0791398938738,-933.8014286791655,3.5970724773032794
-1344.24137939345,-934.32180508828719,3.6105790294153475
-1345.357601778077,-934.89486117034369,3.6047904812860514
-1346.4207348420521,-935.41283311160612,3.6028846003095798
-1347.6025107749113,-936.00487084268343,3.6000343554515943
-1348.7125375516871,-936.56363324027916,3.5976560980767345
-1349.8671948176875,-937.11054091970732,3.6011242878906238
-1351.01293091565,-937.66315073723638,3.5998862406050143
-1352.1648880945095,-938.23061968968295,3.5982092993201285
-1353.2138243462716,-938.75437131248941,3.5845706791371894
-1354.445528884416,-939.2557416732385,3.5941507675235407
-1355.552119733662,-939.78940374832234,3.5885857454425962
-1356.6269694122072,-940.39372618549498,3.601018450277147
-1357.8828959833006,-940.98765531023571,3.5894222944447942
-1358.9108045582748,-941.40683641807414,3.5796456417724518
-1360.0705525776489,-942.01562567351823,3.5806277291411992
-1361.1895865701506,-942.55415200644495,3.5803885643603279
-1362.2991942831516,-943.03490734827687,3.5796019045103304
-1363.4978508961403,-943.57331997602512,3.5748718015072516
-1364.6455254145665,-944.03638083224109,3.5669589925228053
-1365.7686435495145,-944.55842075482303,3.5738977141003447
-1366.8815748896316,-945.13522026071632,3.5732139693888745
-1368.0127027570832,-945.66017437158177,3.5673705202260915
-1369.2475783874543,-946.21260143236532,3.5566395699749376
-1370.2771172224018,-946.60880317090323,3.5707179770217921
-1371.402423001058,-947.16161776343984,3.5674926214152856
-1372.5355792082621,-947.66183177970902,3.5659692359973332
-1373.7856315123133,-948.2314950259539,3.5649986945029029
-1374.8996306481315,-948.71786160875217,3.5582587316494649
-1376.0228883832649,-949.22225363090081,3.5658236646102126
-1377.1454250105369,-949.72388232739945,3.5614389237025881
-1378.2492833546521,-950.2009871601756,3.5550753002548587
-1379.4745683582212,-950.76246184181321,3.5520374493758022
-1380.5746480054013,-951.23125394338695,3.5589108138322638
-1381.7175042123715,-951.67778621749744,3.5490152130237993
