t,X,Y,Psi
0.0,-392157.45965881523,318237.60644695797,2.7836256240057562
0.02,-392157.46616504714,318237.6072030869,2.7836871159044243
0.040000000000000001,-392157.46452869242,318237.60652348725,2.7835782059567333
0.060000000000000005,-392157.47527605126,318237.60606825876,2.7840799305256474
0.080000000000000002,-392157.47608847165,318237.60619254445,2.7835904679872949
0.099999999999999992,-392157.47588692146,318237.60352063528,2.7835519122398846
0.11999999999999998,-392157.48372258706,318237.60313508421,2.7835234884881506
0.13999999999999999,-392157.49249086634,318237.60394675756,2.7835660298215248
0.16,-392157.48955394042,318237.60097200086,2.7832033565690351
0.18000000000000002,-392157.4824123088,318237.59885619592,2.7828854173752182
0.20000000000000004,-392157.47515415557,318237.59298450284,2.7825572216434149
0.22000000000000006,-392157.47257081344,318237.58175222686,2.782722787842931
0.24000000000000007,-392157.46536383731,318237.58108503645,2.7830086467629327
0.26000000000000006,-392157.45596967032,318237.57432386646,2.7826265304016635
0.28000000000000008,-392157.46695604123,318237.58189300681,2.7821045962504733
0.3000000000000001,-392157.47809465555,318237.59242060257,2.7817755808978588
0.32000000000000012,-392157.48491886689,318237.60223050992,2.7818709334455911
0.34000000000000014,-392157.48276990437,318237.60555409157,2.7813569228013479
0.36000000000000015,-392157.47828097997,318237.60098029667,2.7813938766308097
0.38000000000000017,-392157.49012531829,318237.60348663165,2.78145070994545
0.40000000000000019,-392157.47854867682,318237.60324816505,2.781173291442089
0.42000000000000021,-392157.4908170905,318237.5998792813,2.7803990078675214
0.44000000000000022,-392157.50309284055,318237.59854048333,2.7791276787028893
0.46000000000000024,-392157.49839847849,318237.59814666817,2.7787167985708652
0.48000000000000026,-392157.49601585569,318237.60055503267,2.7784392212551214
0.50000000000000022,-392157.50617293711,318237.60559459648,2.7778352694975865
0.52000000000000024,-392157.50922825583,318237.60633421858,2.7781292032253599
0.54000000000000026,-392157.4943252962,318237.60763333278,2.7782321891535391
0.56000000000000028,-392157.50247105875,318237.61726893438,2.7774534560335784
0.58000000000000029,-392157.5136341952,318237.61347649398,2.7782667941914032
0.60000000000000031,-392157.51256808365,318237.60962908523,2.7784477008823667
0.62000000000000033,-392157.50809521717,318237.61249628389,2.7787124488775099
0.64000000000000035,-392157.50520744151,318237.62153670384,2.7788861396092859
0.66000000000000036,-392157.49939754879,318237.62771618972,2.7791304878713419
0.68000000000000038,-392157.49932687351,318237.62330216437,2.7789535110280603
