%time,field.data
1449190632016319595,422955
1449190632066355003,310897
1449190632116589601,286103
1449190632166545950,307083
1449190632217047620,509023
1449190632265550432,293970
1449190632320005677,1017094
1449190632395765586,299930
1449190632415648561,303984
1449190632469900986,1156092
1449190632594926935,967979
1449190632596344713,241995
1449190632615451884,254870
1449190632665553226,291109
1449190632720208776,1429081
1449190632795325584,1157045
1449190632875255575,645876
1449190632876388681,483036
1449190632915671606,283957
1449190632970724693,1024008
1449190633018890032,375032
1449190633072096237,1377106
1449190633124810759,654936
1449190633165535766,290870
1449190633220080688,442028
1449190633294848571,290155
1449190633315319326,292063
1449190633369700540,969887
1449190633419383949,1424074
1449190633486972984,348091
1449190633523474558,405073
1449190633566182776,293970
1449190633619297626,1258850
1449190633666034851,285149
1449190633836151725,730991
1449190633837023624,434876
1449190633837912284,367165
1449190633865155687,185966
1449190633920706884,1528024
1449190633965530738,288009
1449190634019125817,1294136
1449190634074741266,303983
1449190634116599935,311136
1449190634171230623,1507998
1449190634241249296,908136
1449190634265657708,295878
1449190634319904268,1204968
1449190634370294751,1262188
1449190634416209804,299931
1449190634471137734,1457214
1449190634549048756,297069
1449190634565663992,308991
1449190634637574809,1229048
1449190634675164504,488043
1449190634715869119,284910
1449190634770538915,1049041
1449190634817788496,545025
1449190634868183169,625849
1449190634939769922,672102
1449190634976022016,285149
1449190635016112304,408888
1449190635072912261,3874064
1449190635116786833,403881
1449190635214487238,1482010
1449190635216203937,485897
1449190635266331538,241041
1449190635328662642,1858950
1449190635373671995,1009941
1449190635418414554,1235008
1449190635468848337,787020
1449190635532570680,1299142
1449190635573129466,679017
1449190635650428958,298024
1449190635665924501,376940
1449190635716443214,310898
1449190635770753747,995874
1449190635828161882,1060963
1449190635896956381,580073
1449190635916314147,295878
1449190635977897112,305891
1449190636020565664,1212120
1449190636065519422,220060
1449190636149500767,323057
1449190636184383410,396014
1449190636218681905,310897
1449190636273217049,2536058
1449190636315866883,297785
1449190636375226103,1484156
1449190636462168441,620126
1449190636466922116,540018
1449190636535761870,518083
1449190636566628361,266075
1449190636620019785,1027107
1449190636666095194,303030
1449190636721025360,1243830
1449190636769435143,1032114
1449190636835405537,430107
1449190636865523334,270128
