%time,field.data
1449189595348208543,245094
1449189595404278518,891924
1449189595509108875,360012
1449189595509130107,462055
1449189595549055578,261068
1449189595601913413,885964
1449189595651106258,1010180
1449189595699167952,236988
1449189595751876328,1124143
1449189595815810989,4815102
1449189595894422656,223875
1449189595945385279,277996
1449189595947834753,168085
1449189596001345743,1020909
1449189596049031693,185966
1449189596101659888,899076
1449189596154222435,735998
1449189596205004029,850916
1449189596313815344,3521919
1449189596338064794,539065
1449189596348019692,206947
1449189596397956485,241995
1449189596493016332,801086
1449189596499229691,235081
1449189596547970803,197888
1449189596603989653,1582861
1449189596692595316,1362085
1449189596697772519,241995
1449189596747811285,195027
1449189596855060113,1214028
1449189596855086373,375986
1449189596900580980,95129
1449189596955348556,1451016
1449189597000614925,341892
1449189597053649877,874996
1449189597102277565,931978
1449189597195148025,270844
1449189597234883244,324964
1449189597258092340,387907
1449189597301159546,241041
1449189597356893165,839948
1449189597402901806,926017
1449189597451212974,985861
1449189597500158581,417947
1449189597553390207,796079
1449189597634913694,32122136
1449189597647853051,209093
1449189597754495654,783920
1449189597755767604,422955
1449189597800921946,251055
1449189597852063362,1183987
1449189597901591445,297069
1449189597952397622,1800060
1449189598008977439,1096964
1449189598057889803,839948
1449189598098089602,277043
1449189598148080035,227928
1449189598203470034,902176
1449189598251271920,956058
1449189598314634721,828982
1449189598352537305,870943
1449189598449478108,350952
1449189598450001639,320196
1449189598497750730,128031
1449189598548416948,221968
1449189598604276842,795841
1449189598652728809,992060
1449189598701639215,716925
1449189598751351959,816107
1449189598854818177,222921
1449189598857091931,500917
1449189598897679494,236034
1449189598949947869,224829
1449189599033100618,254154
1449189599055943185,335932
1449189599097985958,265121
1449189599151246359,708103
1449189599206213955,221014
1449189599249328936,672102
1449189599316206996,289917
1449189599348206586,205040
1449189599401824296,908137
1449189599456465876,451088
1449189599497885946,222921
1449189599548392085,235081
1449189599614855562,349999
1449189599647766163,219107
1449189599710239750,1381874
1449189599748883489,334024
1449189599804717959,958919
1449189599856121419,1024007
1449189599975108051,262022
1449189599976333347,149012
1449189599997703100,191927
1449189600054329852,391006
1449189600097876168,232219
1449189600148594624,324010
1449189600216698811,229120
1449189600253343970,221968
1449189600306323330,890970
1449189600352555183,1104831
1449189600402423253,1594067
1449189600482282287,487089
1449189600497773081,195026
1449189600548860021,241995
1449189600601617006,609875
1449189600696036548,401974
1449189600697494275,193834
1449189600784369004,875950
1449189600816664447,487089
1449189600848172645,246048
1449189600901494784,993014
1449189600951803133,613928
1449189601062866689,679016
1449189601066284163,1168966
1449189601098105524,207901
1449189601152205140,1791954
1449189601203105184,838042
1449189601248983920,279903
1449189601414329236,597000
1449189601415307293,551939
1449189601416141757,243903
1449189601448046368,195980
1449189601503307863,874042
1449189601551928288,667096
1449189601600598162,261068
1449189601647977366,218153
1449189601714639192,597000
1449189601748365825,189781
1449189601801194048,854015
1449189601849898561,375986
1449189601898877132,323057
1449189601949771870,393152
1449189602075775873,293970
1449189602076903950,1397133
1449189602098600839,277996
1449189602154171590,813007
1449189602203167481,684022
1449189602283546133,603914
1449189602329237415,221968
1449189602349010319,196218
1449189602402783356,962973
1449189602453942371,756979
1449189602498694986,222206
1449189602548133393,266075
1449189602652825172,367880
1449189602654970982,1070023
1449189602697726148,194072
1449189602753561177,874997
1449189602798752115,87023
1449189602848348922,261069
1449189602977436007,345946
1449189602977462546,283957
1449189602998069622,274897
1449189603054289342,866890
1449189603102281476,832080
1449189603154398155,529051
1449189603231126899,428915
1449189603248300035,221014
1449189603301880028,898123
