%time,field.data
1449190500419209362,3255844
1449190500465749355,455141
1449190500492441854,994920
1449190500547511702,3070116
1449190500636831993,45193195
1449190500640336349,262022
1449190500692948902,401020
1449190500770608212,1469850
1449190500789996152,268936
1449190500844621531,1813888
1449190500897267328,2261162
1449190500943843080,978947
1449190500995542947,702143
1449190501060679995,2377033
1449190501093818565,773191
1449190501164261039,292063
1449190501189987212,294924
1449190501244336579,972986
1449190501354429342,305176
1449190501393345182,1013995
1449190501394628865,370980
1449190501440102801,257015
1449190501495923582,1437902
1449190501543419841,1008034
1449190501595920369,2980948
1449190501640395574,409842
1449190501697736103,1617908
1449190501775686513,612974
1449190501789916532,308037
1449190501844959841,1619101
1449190501894062172,1494169
1449190501940364147,417948
1449190502018376015,1549959
1449190502041452134,898123
1449190502090925461,530004
1449190502214875851,834942
1449190502216147522,304937
1449190502255689137,432968
1449190502290036520,278949
1449190502345161123,2003193
1449190502397255454,1624108
1449190502445161822,1311064
1449190502496286476,1594066
1449190502544373313,1368046
1449190502596873563,1012802
1449190502640955701,344038
1449190502695944814,1566887
1449190502740221949,295162
1449190502789762324,247001
1449190502844504756,1277208
1449190502917651765,552893
1449190502941874393,931979
1449190502997507721,972032
1449190503100145356,1003027
1449190503100171058,344991
1449190503141160337,373840
1449190503196420153,463963
1449190503393841340,1361847
1449190503393891067,304938
1449190503393900844,236988
1449190503396029326,892163
1449190503440198056,321865
1449190503504918021,1961946
1449190503575354066,1641989
1449190503590101472,308037
1449190503647192806,2391100
1449190503693877511,977993
1449190503743214228,641107
1449190503794611822,875950
1449190503848347423,1025200
1449190503892378997,689030
1449190503943183498,1429081
1449190503992975860,721932
1449190504041953872,824213
1449190504090103848,321865
1449190504145566202,798941
1449190504295664332,417948
1449190504297255037,699997
1449190504297938364,390053
1449190504340786265,270844
1449190504394161765,1061201
1449190504440935585,289917
1449190504495024584,1001835
1449190504544905226,930070
1449190504594767430,458002
1449190504640995930,293016
1449190504695754287,1035929
1449190504766292299,1039028
1449190504835196029,278950
1449190504840648120,416041
1449190504889928964,278949
1449190504954375143,2232075
1449190504991315033,308990
1449190505068479311,22597075
1449190505091486704,324965
1449190505141004171,312090
1449190505190952698,309944
1449190505241066610,308990
1449190505295585549,885964
1449190505432859419,393868
1449190505432911660,406981
1449190505440331041,356913
1449190505490115580,317812
1449190505546086661,1044989
1449190505590656011,312090
1449190505655241035,1888037
1449190505701587988,303030
1449190505785089104,1063109
1449190505794063707,1965046
1449190505840683879,196933
1449190505907883759,1039029
1449190505941655371,370980
1449190506045664400,1058817
1449190506071157582,440836
1449190506091367695,344992
1449190506141006686,310183
1449190506195948304,1695871
1449190506241099852,298976
1449190506293999593,681877
1449190506342540959,215053
1449190506390003694,249862
1449190506489497904,502110
1449190506490713142,627994
1449190506551345150,2365112
1449190506593718692,563145
1449190506640559002,315190
1449190506691144482,422954
1449190506742999118,332117
1449190506790605727,222206
1449190506840906811,313044
1449190507054188690,990868
1449190507056303201,360966
1449190507057858144,731945
1449190507059355537,514984
1449190507091022387,268221
1449190507143250545,1245022
1449190507195137866,1012802
1449190507299260594,2381087
1449190507301413103,1619101
1449190507341228778,301122
1449190507396591124,1785994
1449190507445206521,869036
1449190507495352000,526905
1449190507540966736,193120
1449190507590551250,278950
1449190507640286622,309945
1449190507694509714,1018047
1449190507743763461,578881
1449190507876451277,735998
1449190507877861791,291109
1449190507930020936,444174
1449190507939993707,276089
1449190507990134437,294924
1449190508053975511,1765013
1449190508096173055,431061
1449190508145573186,303984
1449190508190851009,331163
1449190508299816815,962019
1449190508301142402,268936
1449190508340830686,301122
1449190508394503149,1095057
1449190508445278875,891924
1449190508495335795,387192
1449190508545606991,293017
1449190508617551050,796080
1449190508645597073,318050
1449190508694862831,1134873
1449190508753522520,365019
1449190508796466525,288964
1449190508840778582,293970
1449190508897268164,1047134
1449190508941685541,403881
1449190509010122453,1234770
