%time,field.data
1449189024287335787,240088
1449189024348633802,1357079
1449189024394144614,2496005
1449189024439269621,469923
1449189024515935512,408888
1449189024537830193,254155
1449189024599039368,880003
1449189024638335983,344992
1449189024688437325,293016
1449189024746481013,1731158
1449189024795523281,2094984
1449189024841557621,566006
1449189024890802708,558138
1449189024940200886,826836
1449189024990611203,562907
1449189025040837140,881911
1449189025096602608,420093
1449189025137174804,360966
1449189025193532525,870943
1449189025239252302,427961
1449189025289431864,462055
1449189025339055768,439882
1449189025397041350,2134084
1449189025442787946,308037
1449189025658455852,817060
1449189025659164603,245094
1449189025659273276,154972
1449189025659281936,149011
1449189025687466250,247955
1449189025745856911,1223087
1449189025787356878,258923
1449189025840741317,805855
1449189025892625286,859976
1449189025961157739,488996
1449189025996292372,632047
1449189026097572569,300884
1449189026097866181,1323939
1449189026137750855,401974
1449189026188451153,327110
1449189026242219158,1095057
1449189026295472015,1901149
1449189026346610917,698090
1449189026390286860,379801
1449189026494002841,1067877
1449189026511328778,221967
1449189026545357686,267982
1449189026587325869,278950
1449189026668064060,792980
1449189026687719077,270844
1449189026742312326,855923
1449189026818801658,1627922
1449189026856298884,542164
1449189026887295279,256061
1449189026944694194,1131058
1449189026989739862,787020
1449189027039254257,438929
1449189027108035346,765085
1449189027140096683,797034
1449189027187706087,241995
1449189027245584389,276088
1449189027299472246,908136
1449189027456092999,359058
1449189027457179449,746012
1449189027459458786,612974
1449189027487485247,262975
1449189027544826612,1253128
1449189027587679267,266790
1449189027642942155,820875
1449189027814522901,188112
1449189027817044730,367879
1449189027819303396,374794
1449189027837381673,272036
1449189027895259979,1448870
1449189027942303108,809908
1449189028025677947,1034975
1449189028053830410,272989
1449189028094993742,2012014
1449189028145369420,1451015
1449189028190253616,281096
1449189028238078967,293970
1449189028287321818,298023
1449189028343536784,872135
1449189028432380760,199079
1449189028438675133,365019
1449189028487518212,322104
1449189028544748671,1096010
1449189028595985624,411034
1449189028637250369,247002
1449189028695869274,1613856
1449189028746859833,1366854
1449189028788528536,283002
1449189028841880009,854015
1449189028893877678,1487970
1449189028939167235,386000
1449189028992453057,234127
1449189029037190587,255108
1449189029088208245,288963
1449189029138793165,360965
1449189029187480078,253916
1449189029245904264,854969
1449189029289423203,277996
1449189029365487617,876904
1449189029391856612,430823
1449189029497677881,379086
1449189029498302542,553846
1449189029539559462,264883
1449189029592004956,1412869
1449189029639638384,236988
1449189029694231915,908136
1449189029746221761,244856
1449189029787180878,234842
1449189029855208520,368119
1449189029887457030,286103
1449189029975505651,897884
1449189030036145204,1003027
1449189030038029521,383139
1449189030087348079,247956
1449189030144791413,1322031
1449189030192986366,1083851
1449189030244077775,1394033
1449189030288130022,265122
1449189030344652569,883818
